hike_name,hike_url,difficulty,overall_rating,area,traffic_level,distance,elevation,loop,out_and_back,point_to_point,latitude,longitude,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,backpacking,bird_watching,hike_id
Guadalupe Peak Texas Highpoint Trail,https://www.alltrails.com/trail/us/texas/guadalupe-peak-texas-highpoint-trail?ref=result-card,3,5.0,Guadalupe Mountains National Park,3,8.1,2867.0,0,1,0,31.89666,-104.82815,0,0,1,0,0,0,0,1,1,1,Texashike0
Lost Mine Trail,https://www.alltrails.com/trail/us/texas/lost-mine-trail?ref=result-card,2,5.0,Big Bend National Park,3,4.2,1099.0,0,1,0,29.2744,-103.28635,0,0,0,0,0,0,1,1,0,1,Texashike1
Emory Peak via South Rim Trail and Boot Springs Trail,https://www.alltrails.com/trail/us/texas/emory-peak-via-south-rim-trail-and-boot-springs-trail--2?ref=result-card,3,5.0,Big Bend National Park,3,14.9,3166.0,1,0,0,29.2702,-103.30099,0,0,1,0,0,0,1,1,1,1,Texashike2
Twin Falls and Sculpture Falls Via Barton Creek Greenbelt Trail,https://www.alltrails.com/trail/us/texas/barton-creek-from-camp-craft-road-entrance-to-twin-falls-trail?ref=result-card,2,4.5,Barton Creek Greenbelt,3,3.7,141.0,0,1,0,30.24444,-97.80938,1,0,0,1,1,0,1,1,0,1,Texashike3
The Window Trail,https://www.alltrails.com/trail/us/texas/the-window-trail?ref=result-card,2,4.5,Big Bend National Park,3,5.2,948.0,0,1,0,29.27021,-103.30106,0,1,0,1,0,0,1,1,0,1,Texashike4
The Lighthouse Trail,https://www.alltrails.com/trail/us/texas/the-lighthouse-trail?ref=result-card,2,4.5,Palo Duro Canyon State Park,3,5.7,492.0,0,1,0,34.95141,-101.66781,1,1,0,0,0,0,1,1,0,0,Texashike5
Barton Creek Greenbelt Trail,https://www.alltrails.com/trail/us/texas/barton-creek-greenbelt?ref=result-card,2,4.5,Barton Creek Greenbelt,3,13.8,606.0,0,1,0,30.26417,-97.77373,1,1,0,1,1,0,1,1,0,0,Texashike6
Emory Peak Trail,https://www.alltrails.com/trail/us/texas/emory-peak-trail?ref=result-card,3,5.0,Big Bend National Park,3,10.0,2513.0,0,1,0,29.27008,-103.3008,0,0,0,0,0,0,1,1,0,1,Texashike7
Santa Elena Canyon Trail,https://www.alltrails.com/trail/us/texas/santa-elena-canyon-trail?ref=result-card,1,4.5,Big Bend National Park,3,1.5,610.0,0,1,0,29.16735,-103.6105,0,1,0,0,1,0,1,1,0,1,Texashike8
Cedar Brake Trail,https://www.alltrails.com/trail/us/texas/cedar-brake-trail--3?ref=result-card,2,4.5,Cedar Ridge Preserve,3,2.2,249.0,1,0,0,32.63736,-96.9586,1,1,0,0,1,1,1,1,0,1,Texashike9
Arbor Hills Nature Preserve Mountain Bike Trail ,https://www.alltrails.com/trail/us/texas/arbor-hills-nature-preserve-mountain-bike-trail?ref=result-card,1,4.5,Arbor Hills Nature Preserve,3,2.5,127.0,1,0,0,33.04783,-96.84796,1,1,0,0,0,0,1,1,0,1,Texashike10
Enchanted Rock Summit Trail,https://www.alltrails.com/trail/us/texas/enchanted-rock-summit-trail?ref=result-card,2,4.5,Enchanted Rock State Natural Area,3,1.3,419.0,0,1,0,30.49812,-98.81919,0,1,0,0,1,0,1,1,0,1,Texashike11
