hike_id,variable,value
Texashike0,user2546,5
Texashike0,user7415,5
Texashike49,user7415,4
Texashike114,user7415,4
Texashike0,user30910,5
Texashike6,user30910,5
Texashike67,user30910,4
Texashike0,user13999,5
Texashike114,user13999,5
Texashike1,user13999,5
Texashike3,user13999,5
Texashike4,user13999,5
Texashike7,user13999,5
Texashike11,user13999,5
Texashike15,user13999,5
Texashike23,user13999,5
Texashike31,user13999,4
Texashike41,user13999,5
Texashike47,user13999,5
Texashike56,user13999,5
Texashike72,user13999,5
Texashike97,user13999,5
Texashike118,user13999,5
Texashike273,user13999,4
Texashike287,user13999,5
Texashike639,user13999,5
Texashike0,user3816,5
Texashike0,user21011,5
Texashike0,user5144,4
Texashike56,user5144,5
Texashike24,user5144,4
Texashike33,user5144,4
Texashike44,user5144,4
Texashike94,user5144,5
Texashike144,user5144,5
Texashike556,user5144,4
Texashike655,user5144,5
Texashike0,user3993,5
Texashike0,user11340,5
Texashike0,user4340,5
Texashike15,user4340,5
Texashike273,user4340,4
Texashike180,user4340,4
Texashike197,user4340,5
Texashike0,user29779,5
Texashike5,user29779,5
Texashike108,user29779,5
Texashike0,user26526,5
Texashike9,user26526,5
Texashike0,user25550,5
Texashike0,user25083,5
Texashike1,user25083,5
Texashike8,user25083,5
Texashike0,user1154,5
Texashike0,user12023,5
Texashike13,user12023,5
Texashike58,user12023,4
Texashike388,user12023,4
Texashike540,user12023,4
Texashike0,user8562,5
Texashike16,user8562,4
Texashike279,user8562,5
Texashike0,user26325,5
Texashike71,user26325,5
Texashike0,user8705,5
Texashike1,user8705,5
Texashike15,user8705,5
Texashike5,user8705,4
Texashike71,user8705,4
Texashike2,user8705,5
Texashike17,user8705,4
Texashike85,user8705,4
Texashike105,user8705,4
Texashike136,user8705,4
Texashike141,user8705,5
Texashike155,user8705,4
Texashike209,user8705,4
Texashike244,user8705,4
Texashike348,user8705,5
Texashike387,user8705,4
Texashike393,user8705,5
Texashike485,user8705,3
Texashike637,user8705,4
Texashike799,user8705,3
Texashike0,user25641,4
Texashike0,user2855,5
Texashike485,user2855,5
Texashike28,user2855,5
Texashike48,user2855,5
Texashike255,user2855,5
Texashike0,user28377,5
Texashike0,user4252,4
Texashike1,user4252,5
Texashike4,user4252,5
Texashike7,user4252,5
Texashike47,user4252,4
Texashike16,user4252,5
Texashike69,user4252,4
Texashike200,user4252,3
Texashike383,user4252,5
Texashike484,user4252,4
Texashike0,user21271,5
Texashike0,user294,5
Texashike0,user8016,4
Texashike0,user26036,4
Texashike41,user26036,4
Texashike28,user26036,5
Texashike107,user26036,5
Texashike125,user26036,4
Texashike138,user26036,4
Texashike153,user26036,4
Texashike224,user26036,5
Texashike274,user26036,5
Texashike315,user26036,3
Texashike538,user26036,4
Texashike823,user26036,5
Texashike0,user5693,5
Texashike4,user5693,5
Texashike15,user5693,5
Texashike273,user5693,4
Texashike639,user5693,3
Texashike8,user5693,5
Texashike85,user5693,5
Texashike131,user5693,5
Texashike150,user5693,5
Texashike223,user5693,4
Texashike249,user5693,5
Texashike266,user5693,5
Texashike270,user5693,3
Texashike399,user5693,4
Texashike405,user5693,5
Texashike438,user5693,5
Texashike507,user5693,3
Texashike537,user5693,5
Texashike542,user5693,5
Texashike590,user5693,4
Texashike687,user5693,4
Texashike774,user5693,4
Texashike778,user5693,4
Texashike783,user5693,4
Texashike802,user5693,3
Texashike811,user5693,5
Texashike819,user5693,4
